id,submission_id,category,fields_json,user,created_at
1,1,story,"{""age_appropriateness"": 1, ""clarity"": 1, ""creativity"": 0, ""language"": 0, ""message"": 1, ""literature"": 1, ""notes"": """"}",nprokopchuk,2025-10-16T19:27:22.269172
2,2,story,"{""age_appropriateness"": 1, ""clarity"": 1, ""creativity"": 1, ""language"": 1, ""message"": 0, ""literature"": 1, ""notes"": ""The \""message\"" of the story feels very random and doesn't fit that well with the rest of the generated text.""}",jjanosik,2025-10-22T17:42:52.732887
3,18,story,"{""age_appropriateness"": 1, ""clarity"": 1, ""creativity"": 1, ""language"": 1, ""message"": 0, ""literature"": 1, ""notes"": ""The final moral of the story isn't bad, but it feels a little bit forced. (Why would the storm be meant to be \""understood\""?)""}",jjanosik,2025-10-22T17:50:58.836080
4,28,story,"{""age_appropriateness"": 0, ""clarity"": 1, ""creativity"": 0, ""language"": 1, ""message"": 1, ""literature"": 1, ""notes"": ""The story's moral and language would maybe be more fitting for a little bit older children (around 6-7 years old). The story is also pretty basic (not so much creative).""}",jjanosik,2025-10-22T18:01:42.531200
5,12,story,"{""age_appropriateness"": 1, ""clarity"": 1, ""creativity"": 1, ""language"": 0, ""message"": 1, ""literature"": 1, ""notes"": ""The emoji disrupt the flow of the text. Also sometimes the phrasing feels unnatural, for example: \""Penny showed Benny how to roll in the mud (he giggled).\"".""}",jjanosik,2025-10-22T18:06:38.235195
6,19,story,"{""age_appropriateness"": 1, ""clarity"": 1, ""creativity"": 1, ""language"": 1, ""message"": 1, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-24T15:19:17.647359
7,27,story,"{""age_appropriateness"": 1, ""clarity"": 1, ""creativity"": 1, ""language"": 1, ""message"": 0, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-24T15:21:21.685503
8,20,story,"{""age_appropriateness"": 1, ""clarity"": 0, ""creativity"": 0, ""language"": 1, ""message"": 0, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-24T15:23:42.346380
9,11,story,"{""age_appropriateness"": 1, ""clarity"": 1, ""creativity"": 1, ""language"": 1, ""message"": 0, ""literature"": 1, ""notes"": """"}",ifurkert,2025-10-24T15:26:12.948305
10,9,story,"{""age_appropriateness"": 1, ""clarity"": 0, ""creativity"": 0, ""language"": 0, ""message"": 0, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-24T15:28:04.412244
11,1,story,"{""age_appropriateness"": 0, ""clarity"": 0, ""creativity"": 0, ""language"": 0, ""message"": 0, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-24T15:29:51.157995
12,25,story,"{""age_appropriateness"": 1, ""clarity"": 0, ""creativity"": 1, ""language"": 1, ""message"": 0, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-24T15:31:33.042775
13,10,theme,"{""theme_quality"": 0, ""theme_success"": 1, ""roleplaying"": 0, ""notes"": """"}",ifurkert,2025-10-24T15:33:32.769776
14,7,theme,"{""theme_quality"": 0, ""theme_success"": 1, ""roleplaying"": 1, ""notes"": """"}",ifurkert,2025-10-24T15:36:55.953303
15,15,education,"{""education_quality"": 1, ""naturalness"": 1, ""correctness"": 1, ""notes"": """"}",ifurkert,2025-10-24T15:40:18.940268
16,23,story,"{""age_appropriateness"": 1, ""clarity"": 0, ""creativity"": 0, ""language"": 0, ""message"": 0, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-25T11:06:11.343171
17,28,story,"{""age_appropriateness"": 1, ""clarity"": 0, ""creativity"": 0, ""language"": 1, ""message"": 1, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-25T11:07:32.350099
18,3,story,"{""age_appropriateness"": 0, ""clarity"": 0, ""creativity"": 1, ""language"": 0, ""message"": 0, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-26T08:21:01.325214
19,12,story,"{""age_appropriateness"": 1, ""clarity"": 0, ""creativity"": 0, ""language"": 0, ""message"": 0, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-26T08:23:54.684074
20,7,story,"{""age_appropriateness"": 1, ""clarity"": 1, ""creativity"": 0, ""language"": 0, ""message"": 0, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-26T08:25:50.974520
21,6,story,"{""age_appropriateness"": 0, ""clarity"": 1, ""creativity"": 1, ""language"": 1, ""message"": 0, ""literature"": 1, ""notes"": """"}",ifurkert,2025-10-26T08:27:44.748535
22,14,story,"{""age_appropriateness"": 1, ""clarity"": 1, ""creativity"": 0, ""language"": 0, ""message"": 0, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-26T08:29:44.935678
23,5,story,"{""age_appropriateness"": 0, ""clarity"": 0, ""creativity"": 0, ""language"": 0, ""message"": 0, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-26T08:31:43.854743
24,15,story,"{""age_appropriateness"": 1, ""clarity"": 1, ""creativity"": 0, ""language"": 1, ""message"": 1, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-26T08:34:17.506201
25,26,story,"{""age_appropriateness"": 1, ""clarity"": 0, ""creativity"": 0, ""language"": 0, ""message"": 0, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-26T08:35:36.494966
26,21,story,"{""age_appropriateness"": 0, ""clarity"": 0, ""creativity"": 0, ""language"": 0, ""message"": 1, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-26T08:37:35.378047
27,2,story,"{""age_appropriateness"": 1, ""clarity"": 1, ""creativity"": 0, ""language"": 1, ""message"": 0, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-26T08:39:21.808432
28,17,story,"{""age_appropriateness"": 1, ""clarity"": 0, ""creativity"": 1, ""language"": 1, ""message"": 0, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-26T08:40:30.919670
29,22,story,"{""age_appropriateness"": 1, ""clarity"": 1, ""creativity"": 1, ""language"": 1, ""message"": 0, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-26T08:41:39.099280
30,13,story,"{""age_appropriateness"": 1, ""clarity"": 0, ""creativity"": 0, ""language"": 0, ""message"": 0, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-26T08:43:09.615172
31,8,story,"{""age_appropriateness"": 1, ""clarity"": 0, ""creativity"": 0, ""language"": 0, ""message"": 0, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-26T08:44:43.869888
32,18,story,"{""age_appropriateness"": 1, ""clarity"": 0, ""creativity"": 1, ""language"": 1, ""message"": 0, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-26T08:48:45.624633
33,50,story,"{""age_appropriateness"": 1, ""clarity"": 0, ""creativity"": 0, ""language"": 0, ""message"": 0, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-26T08:50:28.862565
34,16,story,"{""age_appropriateness"": 1, ""clarity"": 0, ""creativity"": 1, ""language"": 1, ""message"": 1, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-26T08:53:05.998128
35,24,story,"{""age_appropriateness"": 1, ""clarity"": 1, ""creativity"": 0, ""language"": 1, ""message"": 0, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-26T08:54:17.937753
36,10,story,"{""age_appropriateness"": 1, ""clarity"": 0, ""creativity"": 0, ""language"": 0, ""message"": 0, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-26T08:55:51.018731
37,4,story,"{""age_appropriateness"": 1, ""clarity"": 0, ""creativity"": 0, ""language"": 0, ""message"": 0, ""literature"": 0, ""notes"": """"}",ifurkert,2025-10-26T08:56:56.009851
38,2,theme,"{""theme_quality"": 1, ""theme_success"": 1, ""roleplaying"": 1, ""notes"": """"}",ifurkert,2025-10-26T08:58:55.143542
39,45,theme,"{""theme_quality"": 0, ""theme_success"": 1, ""roleplaying"": 1, ""notes"": """"}",ifurkert,2025-10-26T09:10:14.520934
40,1,theme,"{""theme_quality"": 0, ""theme_success"": 0, ""roleplaying"": 0, ""notes"": """"}",ifurkert,2025-10-26T09:24:35.164096
41,16,theme,"{""theme_quality"": 0, ""theme_success"": 0, ""roleplaying"": 0, ""notes"": """"}",ifurkert,2025-10-26T09:29:04.504045
42,8,theme,"{""theme_quality"": 0, ""theme_success"": 1, ""roleplaying"": 1, ""notes"": """"}",ifurkert,2025-10-26T09:30:14.671509
43,15,theme,"{""theme_quality"": 0, ""theme_success"": 0, ""roleplaying"": 0, ""notes"": """"}",ifurkert,2025-10-26T09:34:38.882729
44,22,theme,"{""theme_quality"": 0, ""theme_success"": 1, ""roleplaying"": 0, ""notes"": """"}",ifurkert,2025-10-26T10:18:59.335410
45,18,theme,"{""theme_quality"": 0, ""theme_success"": 1, ""roleplaying"": 0, ""notes"": """"}",ifurkert,2025-10-26T10:20:24.705542
46,12,theme,"{""theme_quality"": 0, ""theme_success"": 1, ""roleplaying"": 1, ""notes"": """"}",ifurkert,2025-10-26T10:20:57.286305
47,11,theme,"{""theme_quality"": 0, ""theme_success"": 0, ""roleplaying"": 0, ""notes"": """"}",ifurkert,2025-10-26T10:22:40.247868
48,9,theme,"{""theme_quality"": 1, ""theme_success"": 1, ""roleplaying"": 1, ""notes"": """"}",ifurkert,2025-10-26T10:24:04.285673
49,4,theme,"{""theme_quality"": 0, ""theme_success"": 0, ""roleplaying"": 0, ""notes"": """"}",ifurkert,2025-10-26T10:24:58.979199
50,23,theme,"{""theme_quality"": 1, ""theme_success"": 1, ""roleplaying"": 0, ""notes"": """"}",ifurkert,2025-10-26T10:26:10.199323
51,20,theme,"{""theme_quality"": 0, ""theme_success"": 1, ""roleplaying"": 0, ""notes"": """"}",ifurkert,2025-10-26T10:30:18.984771
52,19,theme,"{""theme_quality"": 0, ""theme_success"": 0, ""roleplaying"": 0, ""notes"": """"}",ifurkert,2025-10-26T10:31:13.114326
53,6,theme,"{""theme_quality"": 0, ""theme_success"": 0, ""roleplaying"": 1, ""notes"": """"}",ifurkert,2025-10-26T10:32:21.582419
54,14,theme,"{""theme_quality"": 0, ""theme_success"": 1, ""roleplaying"": 1, ""notes"": """"}",ifurkert,2025-10-26T10:33:31.610458
55,21,theme,"{""theme_quality"": 0, ""theme_success"": 1, ""roleplaying"": 0, ""notes"": """"}",ifurkert,2025-10-26T10:35:16.747273
56,25,theme,"{""theme_quality"": 0, ""theme_success"": 1, ""roleplaying"": 0, ""notes"": """"}",ifurkert,2025-10-26T10:36:48.117586
57,17,theme,"{""theme_quality"": 1, ""theme_success"": 1, ""roleplaying"": 1, ""notes"": """"}",ifurkert,2025-10-26T10:37:47.123202
58,13,theme,"{""theme_quality"": 0, ""theme_success"": 0, ""roleplaying"": 0, ""notes"": """"}",ifurkert,2025-10-26T10:40:44.604938
59,3,theme,"{""theme_quality"": 0, ""theme_success"": 1, ""roleplaying"": 1, ""notes"": """"}",ifurkert,2025-10-26T10:41:41.558330
60,5,theme,"{""theme_quality"": 0, ""theme_success"": 0, ""roleplaying"": 0, ""notes"": """"}",ifurkert,2025-10-26T10:42:02.478546
61,24,theme,"{""theme_quality"": 0, ""theme_success"": 0, ""roleplaying"": 0, ""notes"": """"}",ifurkert,2025-10-26T10:43:27.038279
62,7,education,"{""education_quality"": 0, ""naturalness"": 0, ""correctness"": 1, ""notes"": """"}",ifurkert,2025-10-26T10:44:53.692565
63,12,education,"{""education_quality"": 0, ""naturalness"": 0, ""correctness"": 1, ""notes"": """"}",ifurkert,2025-10-26T10:46:21.697224
64,4,education,"{""education_quality"": 0, ""naturalness"": 0, ""correctness"": 0, ""notes"": """"}",ifurkert,2025-10-26T10:47:12.886756
65,9,education,"{""education_quality"": 0, ""naturalness"": 0, ""correctness"": 0, ""notes"": """"}",ifurkert,2025-10-26T10:47:38.306126
66,2,education,"{""education_quality"": 0, ""naturalness"": 0, ""correctness"": 1, ""notes"": """"}",ifurkert,2025-10-26T10:48:14.531098
